time_sk,hour,minute,am_pm,time_band,shift_id
1937,19,37,PM,Evening,4
1938,19,38,PM,Evening,4
1939,19,39,PM,Evening,4
1940,19,40,PM,Evening,4
1941,19,41,PM,Evening,4
1942,19,42,PM,Evening,4
1943,19,43,PM,Evening,4
1944,19,44,PM,Evening,4
1945,19,45,PM,Evening,4
1946,19,46,PM,Evening,4
1947,19,47,PM,Evening,4
1948,19,48,PM,Evening,4
1949,19,49,PM,Evening,4
1950,19,50,PM,Evening,4
1951,19,51,PM,Evening,4
1952,19,52,PM,Evening,4
1953,19,53,PM,Evening,4
1954,19,54,PM,Evening,4
1955,19,55,PM,Evening,4
1956,19,56,PM,Evening,4
1957,19,57,PM,Evening,4
1958,19,58,PM,Evening,4
1959,19,59,PM,Evening,4
2000,20,0,PM,Evening,4
2001,20,1,PM,Evening,4
2002,20,2,PM,Evening,4
2003,20,3,PM,Evening,4
2004,20,4,PM,Evening,4
2005,20,5,PM,Evening,4
2006,20,6,PM,Evening,4
2007,20,7,PM,Evening,4
2008,20,8,PM,Evening,4
2009,20,9,PM,Evening,4
2010,20,10,PM,Evening,4
2011,20,11,PM,Evening,4
2012,20,12,PM,Evening,4
2013,20,13,PM,Evening,4
2014,20,14,PM,Evening,4
2015,20,15,PM,Evening,4
